TIME,ETemp,STemp,GTemp,CH1,CH2,CH3,GPS
2021-02-25 00:00:00,43.61,42.33,-49.08,20719.09,1025.20,51123.30,13
2021-02-25 00:01:00,43.60,42.35,-49.10,20718.68,1027.56,51123.63,13
2021-02-25 00:02:00,43.59,42.34,-49.08,20718.40,1029.35,51124.02,13
2021-02-25 00:03:00,43.61,42.34,-49.08,20718.47,1030.78,51124.53,13
2021-02-25 00:04:00,43.59,42.34,-49.13,20718.64,1030.82,51124.74,13
2021-02-25 00:05:00,43.59,42.33,-49.18,20718.34,1032.36,51125.04,13
2021-02-25 00:06:00,43.58,42.34,-49.14,20719.53,1035.00,51124.92,13
2021-02-25 00:07:00,43.60,42.33,-49.10,20720.18,1034.58,51124.20,13
2021-02-25 00:08:00,43.61,42.33,-49.09,20722.34,1035.28,51123.65,13
2021-02-25 00:09:00,43.61,42.34,-49.05,20724.14,1032.97,51123.06,13
2021-02-25 00:10:00,43.59,42.34,-49.11,20724.30,1030.78,51122.52,13
2021-02-25 00:11:00,43.61,42.34,-49.11,20723.84,1028.39,51121.99,13
2021-02-25 00:12:00,43.58,42.34,-49.14,20723.43,1026.01,51121.78,13
2021-02-25 00:13:00,43.58,42.33,-49.14,20722.58,1025.19,51121.83,13
2021-02-25 00:14:00,43.60,42.33,-49.11,20722.27,1024.86,51121.97,13
2021-02-25 00:15:00,43.59,42.34,-49.13,20720.56,1025.88,51122.25,13
2021-02-25 00:16:00,43.61,42.34,-49.10,20719.28,1026.35,51122.39,13
2021-02-25 00:17:00,43.62,42.34,-49.12,20719.01,1028.41,51122.64,13
2021-02-25 00:18:00,43.60,42.34,-49.08,20719.14,1030.90,51123.29,13
2021-02-25 00:19:00,43.60,42.34,-49.12,20720.24,1032.09,51123.99,13
2021-02-25 00:20:00,43.60,42.34,-49.12,20721.17,1032.20,51124.26,13
2021-02-25 00:21:00,43.60,42.33,-49.07,20720.31,1034.33,51124.44,13
2021-02-25 00:22:00,43.61,42.34,-49.11,20721.05,1033.01,51125.04,13
2021-02-25 00:23:00,43.61,42.33,-49.10,20720.69,1028.58,51125.81,13
2021-02-25 00:24:00,43.61,42.34,-49.09,20720.66,1027.05,51127.53,13
2021-02-25 00:25:00,43.60,42.33,-49.10,20720.57,1027.59,51129.50,13
2021-02-25 00:26:00,43.60,42.35,-49.12,20722.49,1022.12,51131.40,13
2021-02-25 00:27:00,43.61,42.33,-49.09,20719.44,1021.82,51134.01,13
2021-02-25 00:28:00,43.62,42.33,-49.11,20717.55,1021.47,51135.79,13
2021-02-25 00:29:00,43.60,42.34,-49.11,20716.12,1024.95,51137.38,13
2021-02-25 00:30:00,43.59,42.34,-49.11,20713.81,1028.35,51139.03,13
2021-02-25 00:31:00,43.60,42.34,-49.13,20712.49,1030.71,51141.02,13
2021-02-25 00:32:00,43.60,42.35,-49.07,20711.08,1033.37,51144.19,13
2021-02-25 00:33:00,43.60,42.34,-49.17,20709.18,1039.68,51147.26,13
2021-02-25 00:34:00,43.60,42.33,-49.11,20709.46,1046.99,51149.53,13
2021-02-25 00:35:00,43.59,42.32,-49.08,20711.30,1053.41,51151.47,13
2021-02-25 00:36:00,43.60,42.34,-49.11,20712.28,1060.17,51152.25,13
2021-02-25 00:37:00,43.60,42.34,-49.10,20713.88,1065.46,51151.24,13
2021-02-25 00:38:00,43.60,42.34,-49.08,20714.99,1070.46,51148.48,13
2021-02-25 00:39:00,43.59,42.34,-49.09,20717.86,1072.50,51144.65,13
2021-02-25 00:40:00,43.61,42.35,-49.08,20721.36,1071.71,51139.97,13
2021-02-25 00:41:00,43.60,42.34,-49.08,20722.75,1069.67,51136.41,13
2021-02-25 00:42:00,43.61,42.34,-49.11,20724.80,1070.20,51133.38,13
